CustomerID,Gender,Age,Tenure,PlanType,MonthlyCharges,InternetService,ContractType,PaymentMethod,TechSupport,OnlineSecurity,DeviceProtection,StreamingTV,StreamingMovies,PaperlessBilling,TotalCharges,Churn
CUST1066,Female,48,64,Silver,43.85,DSL,One year,Credit card,Yes,Yes,No,Yes,Yes,Yes,3065.99,No
CUST1067,Male,52,4,Basic,70.88,DSL,One year,Mailed check,Yes,Yes,Yes,No,Yes,Yes,292.77,No
CUST1068,Female,38,28,Premium,21.98,None,Month-to-month,Bank transfer,No,Yes,No,No,Yes,No,627.99,No
CUST1069,Female,48,16,Silver,59.63,None,Month-to-month,Credit card,Yes,No,Yes,No,Yes,Yes,894.63,No
CUST1070,Female,36,63,Basic,28.22,DSL,Two year,Credit card,No,No,Yes,No,No,Yes,1703.04,No
CUST1071,Female,48,53,Silver,20.04,Fiber optic,Month-to-month,Mailed check,No,No,Yes,No,Yes,No,1142.83,No
CUST1072,Male,49,17,Basic,116.49,Fiber optic,Month-to-month,Credit card,Yes,Yes,No,No,Yes,Yes,1983.4,Yes
CUST1073,Female,19,40,Basic,91.66,Fiber optic,Two year,Electronic check,Yes,No,Yes,Yes,Yes,Yes,3933.05,No
CUST1074,Male,69,13,Silver,90.5,Fiber optic,Month-to-month,Bank transfer,No,No,No,Yes,Yes,No,1062.57,No
CUST1075,Female,27,52,Premium,24.51,DSL,Month-to-month,Electronic check,No,No,Yes,Yes,No,Yes,1276.05,No
CUST1076,Female,19,58,Silver,112.58,Fiber optic,Two year,Credit card,No,No,No,Yes,Yes,No,6288.42,No
CUST1077,Female,19,37,Basic,64.29,Fiber optic,Two year,Mailed check,No,No,Yes,Yes,No,Yes,2274.3,No
CUST1078,Male,41,61,Silver,104.49,Fiber optic,Two year,Electronic check,No,Yes,No,Yes,Yes,Yes,6834.06,No
CUST1079,Female,34,34,Basic,16.32,Fiber optic,Month-to-month,Electronic check,No,No,Yes,Yes,No,No,592.41,No
CUST1080,Male,49,70,Basic,46.31,None,Month-to-month,Electronic check,No,No,Yes,Yes,Yes,No,3498.45,No
CUST1081,Female,33,17,Gold,119.58,Fiber optic,One year,Mailed check,No,Yes,No,Yes,No,Yes,2004.19,No
CUST1082,Male,33,20,Premium,59.92,Fiber optic,One year,Mailed check,No,Yes,No,No,No,Yes,1309.03,No
CUST1083,Female,63,59,Basic,108.29,DSL,Month-to-month,Credit card,Yes,Yes,Yes,Yes,No,Yes,6159.92,Yes
CUST1084,Male,56,69,Silver,49.44,Fiber optic,Two year,Mailed check,No,No,No,No,Yes,Yes,3745.1,No
CUST1085,Male,48,33,Premium,70.16,Fiber optic,Two year,Electronic check,No,Yes,Yes,Yes,Yes,No,2434.35,No
CUST1086,Female,60,17,Basic,104.69,DSL,One year,Credit card,No,No,No,Yes,Yes,No,1834.67,Yes
CUST1087,Male,41,57,Basic,78.61,Fiber optic,Month-to-month,Mailed check,Yes,Yes,Yes,Yes,No,Yes,4831.21,No
CUST1088,Female,18,1,Premium,91.15,DSL,Month-to-month,Bank transfer,No,No,No,Yes,No,Yes,93.55,Yes
CUST1089,Female,28,13,Gold,39.03,DSL,Month-to-month,Mailed check,Yes,No,Yes,Yes,Yes,No,499.27,No
CUST1090,Female,38,27,Basic,31.37,DSL,Month-to-month,Mailed check,No,No,No,Yes,No,No,823.5,No
CUST1091,Female,21,70,Basic,39.18,DSL,Month-to-month,Credit card,Yes,No,Yes,Yes,Yes,Yes,2545.5,No
CUST1092,Female,24,59,Basic,66.77,Fiber optic,One year,Credit card,No,Yes,Yes,No,Yes,No,3924.21,No
CUST1093,Female,43,6,Silver,99.1,Fiber optic,One year,Credit card,No,No,Yes,No,No,No,629.03,No
CUST1094,Female,64,23,Gold,52.17,Fiber optic,One year,Bank transfer,Yes,Yes,Yes,No,Yes,Yes,1112.97,No
CUST1095,Female,67,10,Silver,74.31,Fiber optic,Month-to-month,Bank transfer,Yes,Yes,Yes,Yes,Yes,Yes,806.62,Yes
CUST1096,Female,29,51,Silver,99.51,Fiber optic,Month-to-month,Mailed check,Yes,Yes,No,Yes,Yes,No,4791.13,No
CUST1097,Female,48,19,Basic,40.07,DSL,Month-to-month,Mailed check,No,No,No,Yes,Yes,No,831.47,No
CUST1098,Female,34,51,Basic,107.71,DSL,One year,Credit card,Yes,No,No,Yes,Yes,No,5445.68,Yes
CUST1099,Male,50,68,Basic,115.07,DSL,Month-to-month,Credit card,Yes,Yes,Yes,No,Yes,No,7259.21,Yes
CUST1100,Male,28,42,Gold,19.09,Fiber optic,Month-to-month,Bank transfer,No,Yes,No,Yes,Yes,Yes,739.58,No
CUST1101,Female,45,57,Silver,21.21,Fiber optic,Month-to-month,Bank transfer,Yes,No,No,Yes,Yes,No,1248.19,No
CUST1102,Female,49,68,Basic,24.55,DSL,Month-to-month,Credit card,No,No,Yes,No,No,Yes,1773.19,No
CUST1103,Female,18,38,Silver,96.56,Fiber optic,Two year,Mailed check,Yes,No,No,No,No,Yes,3344.42,No
CUST1104,Female,64,62,Gold,34.88,None,Month-to-month,Bank transfer,Yes,Yes,Yes,No,Yes,Yes,2342.36,No
CUST1105,Female,45,7,Silver,91.2,DSL,One year,Credit card,No,Yes,No,Yes,No,Yes,579.48,No
CUST1106,Female,59,71,Basic,61.33,Fiber optic,Month-to-month,Credit card,No,No,Yes,No,Yes,Yes,4393.63,No
CUST1107,Female,24,50,Basic,102.81,DSL,Month-to-month,Credit card,Yes,No,Yes,Yes,Yes,Yes,5156.55,Yes
CUST1108,Female,19,52,Basic,99.9,Fiber optic,Month-to-month,Bank transfer,Yes,No,Yes,No,Yes,No,5512.22,No
CUST1109,Male,59,26,Gold,115.76,Fiber optic,Two year,Mailed check,Yes,Yes,No,No,Yes,Yes,3059.06,No
CUST1110,Female,41,26,Silver,41.36,Fiber optic,Month-to-month,Bank transfer,No,No,No,Yes,Yes,Yes,1040.28,No
CUST1111,Male,21,19,Gold,39.07,Fiber optic,Two year,Mailed check,Yes,No,Yes,Yes,Yes,No,754.25,No
CUST1112,Female,61,9,Gold,18.31,Fiber optic,One year,Bank transfer,Yes,Yes,Yes,Yes,No,Yes,179.66,No
CUST1113,Female,36,61,Premium,58.09,DSL,One year,Credit card,No,Yes,No,No,Yes,No,3276.11,No
CUST1114,Male,43,20,Basic,63.2,DSL,Month-to-month,Credit card,Yes,No,No,No,Yes,Yes,1303.62,No
CUST1115,Female,28,50,Basic,116.27,Fiber optic,Two year,Electronic check,No,Yes,No,Yes,No,Yes,5427.64,Yes
CUST1116,Male,57,22,Silver,102.23,DSL,Month-to-month,Credit card,No,Yes,No,No,Yes,Yes,2116.17,No
CUST1117,Female,67,13,Basic,32.51,DSL,Month-to-month,Mailed check,Yes,No,Yes,Yes,No,Yes,462.57,No
CUST1118,Female,60,12,Gold,98.84,DSL,Month-to-month,Credit card,No,Yes,Yes,Yes,Yes,No,1263.41,No
CUST1119,Male,28,10,Gold,33.72,DSL,Month-to-month,Electronic check,No,No,Yes,No,Yes,No,364.93,Yes
CUST1120,Female,62,65,Silver,23.17,DSL,Month-to-month,Credit card,Yes,Yes,Yes,Yes,Yes,Yes,1401.21,No
CUST1121,Male,20,30,Basic,102.89,Fiber optic,Two year,Credit card,Yes,No,No,No,Yes,No,3033.07,Yes
CUST1122,Female,29,8,Basic,117.48,DSL,One year,Bank transfer,No,Yes,Yes,Yes,Yes,Yes,990.02,Yes
CUST1123,Male,20,21,Basic,24.25,Fiber optic,Month-to-month,Mailed check,No,No,No,No,Yes,Yes,524.35,No
CUST1124,Male,59,22,Gold,100.46,Fiber optic,Month-to-month,Electronic check,No,No,No,Yes,Yes,No,2055.87,No
CUST1125,Female,44,18,Basic,105.22,Fiber optic,One year,Bank transfer,No,No,No,Yes,Yes,No,1870.91,Yes
CUST1126,Female,66,66,Basic,27.47,Fiber optic,Month-to-month,Electronic check,No,No,No,No,Yes,Yes,1719.72,No
CUST1127,Male,19,48,Basic,44.74,Fiber optic,Month-to-month,Credit card,Yes,Yes,No,No,No,Yes,2077.96,No
CUST1128,Female,66,44,Premium,92.03,DSL,Month-to-month,Electronic check,No,No,Yes,No,Yes,Yes,4383.81,No
CUST1129,Female,33,9,Silver,99.81,Fiber optic,Month-to-month,Bank transfer,Yes,No,No,Yes,No,Yes,852.7,Yes
CUST1130,Female,19,67,Premium,52.17,DSL,Month-to-month,Credit card,No,Yes,No,No,Yes,Yes,3408.71,No
CUST1131,Male,47,54,Gold,31.79,Fiber optic,Two year,Bank transfer,Yes,Yes,No,No,Yes,Yes,1722.68,No
CUST1132,Male,37,26,Silver,83.08,DSL,Two year,Mailed check,No,Yes,No,Yes,No,Yes,1974.74,No
CUST1133,Male,55,26,Basic,88.71,DSL,Month-to-month,Mailed check,No,Yes,Yes,Yes,No,No,2485.79,No
CUST1134,Male,45,34,Basic,67.88,DSL,Month-to-month,Mailed check,No,Yes,No,No,Yes,Yes,2291.43,No
CUST1135,Male,42,8,Silver,30.22,Fiber optic,One year,Electronic check,No,Yes,Yes,Yes,Yes,Yes,235,No
CUST1136,Male,49,10,Gold,103.67,DSL,One year,Mailed check,No,Yes,Yes,No,No,No,1032.04,No
CUST1137,Male,27,48,Basic,82.75,Fiber optic,Month-to-month,Electronic check,Yes,No,Yes,Yes,Yes,Yes,4110.95,No
CUST1138,Male,59,55,Basic,106.26,None,Month-to-month,Electronic check,No,Yes,Yes,Yes,Yes,Yes,5974.4,Yes
CUST1139,Male,57,54,Silver,112.96,DSL,Month-to-month,Bank transfer,Yes,No,No,Yes,No,Yes,6194.2,No
CUST1140,Female,50,40,Basic,99.6,None,Two year,Credit card,Yes,Yes,No,No,Yes,No,3828.7,No
CUST1141,Male,30,15,Silver,115.66,DSL,One year,Credit card,Yes,No,Yes,No,Yes,Yes,1712.28,No
CUST1142,Female,58,18,Basic,115.2,Fiber optic,Month-to-month,Bank transfer,No,Yes,No,No,Yes,Yes,2155.42,Yes
CUST1143,Female,59,23,Basic,80.03,None,Two year,Mailed check,No,No,No,Yes,Yes,Yes,1978.25,No
CUST1144,Female,64,62,Basic,91.46,None,Two year,Bank transfer,No,Yes,No,Yes,No,Yes,5258.47,No
CUST1145,Male,54,46,Silver,88.44,Fiber optic,Month-to-month,Bank transfer,No,No,No,No,Yes,Yes,4344.41,No
CUST1146,Male,33,39,Silver,80.22,Fiber optic,One year,Credit card,No,No,No,Yes,Yes,No,3314.26,No
CUST1147,Male,62,15,Basic,17.03,DSL,One year,Electronic check,No,Yes,No,Yes,Yes,Yes,267.84,No
CUST1148,Male,39,53,Gold,52.37,Fiber optic,One year,Bank transfer,Yes,Yes,No,Yes,No,Yes,2755.48,No
CUST1149,Female,37,64,Basic,25.51,DSL,One year,Bank transfer,Yes,No,Yes,No,Yes,No,1653.44,No
CUST1150,Male,67,63,Basic,46.53,DSL,Month-to-month,Electronic check,No,Yes,Yes,No,No,No,2918.67,No
CUST1151,Male,60,16,Silver,22.2,Fiber optic,Two year,Credit card,Yes,Yes,No,No,No,Yes,356,No
CUST1152,Male,44,70,Basic,111.6,DSL,Month-to-month,Mailed check,No,Yes,No,Yes,No,Yes,7994.12,Yes
CUST1153,Male,58,66,Silver,62.39,None,Month-to-month,Bank transfer,Yes,Yes,No,Yes,No,Yes,4112,No
CUST1154,Male,33,13,Premium,34.88,Fiber optic,Month-to-month,Mailed check,No,Yes,No,Yes,No,No,458.53,No
CUST1155,Female,51,47,Silver,76.4,Fiber optic,Month-to-month,Mailed check,No,No,Yes,Yes,Yes,Yes,3707.05,No
CUST1156,Male,49,9,Silver,35.63,Fiber optic,Month-to-month,Bank transfer,No,No,No,Yes,No,Yes,306.03,Yes
CUST1157,Female,43,63,Silver,99.47,Fiber optic,Month-to-month,Mailed check,Yes,Yes,Yes,Yes,Yes,No,6536.3,No
CUST1158,Male,42,34,Basic,47.12,DSL,Two year,Bank transfer,No,No,No,Yes,No,No,1752.77,No
CUST1159,Female,19,29,Silver,48.06,Fiber optic,Two year,Electronic check,Yes,No,Yes,Yes,No,Yes,1309.02,No
CUST1160,Male,29,37,Basic,106.34,DSL,One year,Electronic check,Yes,Yes,Yes,Yes,Yes,Yes,4263.9,Yes
CUST1161,Male,57,43,Premium,73.72,DSL,Two year,Electronic check,No,Yes,Yes,No,Yes,No,3121.69,No
CUST1162,Female,26,64,Basic,108.17,DSL,Month-to-month,Electronic check,Yes,No,No,Yes,Yes,Yes,7498.52,Yes
CUST1163,Female,29,24,Silver,58.35,Fiber optic,Month-to-month,Credit card,Yes,No,Yes,Yes,Yes,No,1377.81,No
CUST1164,Female,43,71,Premium,51.11,DSL,Month-to-month,Electronic check,Yes,No,Yes,No,Yes,Yes,3784.34,No
CUST1165,Male,26,34,Gold,68.15,Fiber optic,Month-to-month,Bank transfer,No,Yes,Yes,Yes,No,No,2343.86,No
CUST1166,Female,27,48,Premium,21.46,Fiber optic,Two year,Bank transfer,No,No,Yes,Yes,No,No,1081.55,No
CUST1167,Male,49,12,Silver,31.19,DSL,One year,Bank transfer,No,Yes,No,Yes,Yes,No,389.36,No
CUST1168,Male,51,23,Basic,38.05,Fiber optic,Month-to-month,Mailed check,Yes,No,No,No,No,No,955.5,No
CUST1169,Female,65,13,Gold,100.75,Fiber optic,Month-to-month,Bank transfer,Yes,Yes,No,Yes,Yes,Yes,1254.49,No
CUST1170,Female,37,45,Basic,92.05,None,Month-to-month,Credit card,No,No,Yes,Yes,Yes,No,4498.5,No
CUST1171,Male,56,65,Basic,35.3,DSL,Month-to-month,Credit card,No,No,Yes,Yes,Yes,Yes,2180.84,No
CUST1172,Male,19,47,Gold,44.06,Fiber optic,Month-to-month,Credit card,Yes,No,Yes,Yes,No,Yes,2189.44,No
CUST1173,Female,18,58,Silver,114.15,Fiber optic,One year,Credit card,No,Yes,Yes,No,Yes,Yes,6607.05,No
CUST1174,Female,68,5,Gold,24.01,None,Two year,Credit card,No,Yes,Yes,Yes,Yes,Yes,109.78,No
CUST1175,Female,53,5,Premium,72.48,Fiber optic,Two year,Credit card,Yes,No,Yes,Yes,No,Yes,328.66,No
CUST1176,Male,41,60,Gold,69.81,Fiber optic,Month-to-month,Electronic check,Yes,No,Yes,No,Yes,No,4205.67,No
CUST1177,Male,44,21,Basic,91.2,DSL,Month-to-month,Credit card,No,No,Yes,No,Yes,Yes,1736.98,No
CUST1178,Male,19,24,Silver,42.45,DSL,Two year,Mailed check,No,No,Yes,Yes,Yes,No,1109.76,No
CUST1179,Male,48,18,Gold,113.15,DSL,One year,Credit card,Yes,No,Yes,Yes,Yes,No,1900.27,No
CUST1180,Male,31,21,Premium,58.11,Fiber optic,Month-to-month,Bank transfer,Yes,No,No,No,No,Yes,1216.66,No
CUST1181,Male,19,54,Basic,45,Fiber optic,One year,Bank transfer,No,Yes,Yes,No,Yes,No,2370.44,No
CUST1182,Female,46,10,Basic,50.37,DSL,Month-to-month,Mailed check,No,No,No,No,Yes,Yes,506.17,Yes
CUST1183,Male,32,24,Gold,51.62,Fiber optic,Month-to-month,Credit card,No,Yes,No,Yes,Yes,Yes,1166.64,No
CUST1184,Male,29,60,Basic,35.89,DSL,Two year,Electronic check,No,Yes,Yes,Yes,Yes,No,2311.18,No
CUST1185,Male,54,57,Silver,112.45,Fiber optic,Month-to-month,Electronic check,Yes,Yes,No,Yes,No,No,5785.08,No
CUST1186,Female,45,23,Basic,33.36,Fiber optic,One year,Electronic check,No,No,Yes,Yes,Yes,Yes,778.26,No
CUST1187,Male,37,22,Silver,107.7,Fiber optic,Month-to-month,Electronic check,No,Yes,No,No,Yes,Yes,2297.04,No
CUST1188,Male,56,68,Gold,57.52,DSL,Month-to-month,Credit card,No,Yes,Yes,Yes,Yes,No,3687.8,No
CUST1189,Female,41,34,Basic,43.27,Fiber optic,Month-to-month,Mailed check,No,Yes,No,Yes,Yes,No,1386.92,No
CUST1190,Male,38,70,Silver,35.84,None,Month-to-month,Electronic check,No,Yes,Yes,Yes,No,Yes,2350.01,No
CUST1191,Male,27,28,Basic,67.96,Fiber optic,Month-to-month,Credit card,No,No,No,No,Yes,No,1941.95,No
CUST1192,Male,63,39,Basic,85.27,DSL,Month-to-month,Credit card,No,No,Yes,Yes,Yes,Yes,3585.89,No
CUST1193,Male,31,42,Basic,109.31,Fiber optic,Month-to-month,Credit card,No,No,No,Yes,Yes,Yes,4497.14,Yes
CUST1194,Male,54,23,Gold,83.51,Fiber optic,Two year,Credit card,Yes,Yes,No,No,Yes,No,1791.97,No
CUST1195,Female,35,70,Basic,65.78,DSL,One year,Credit card,No,Yes,No,Yes,Yes,Yes,4192.58,No
CUST1196,Female,41,2,Silver,18.51,DSL,Month-to-month,Bank transfer,No,No,No,No,Yes,Yes,39.38,Yes
CUST1197,Female,31,24,Silver,111.12,Fiber optic,One year,Credit card,No,No,Yes,Yes,Yes,Yes,2518.77,No
CUST1198,Male,51,17,Silver,109.75,Fiber optic,Month-to-month,Credit card,No,Yes,Yes,No,No,Yes,1953.51,No
CUST1199,Male,29,65,Silver,54.77,None,One year,Credit card,Yes,Yes,No,No,No,Yes,3581.16,No
CUST1200,Male,39,70,Silver,18.05,DSL,Month-to-month,Bank transfer,No,Yes,Yes,Yes,Yes,No,1298.07,No
CUST1201,Female,23,69,Basic,92,Fiber optic,Month-to-month,Bank transfer,Yes,No,Yes,Yes,No,Yes,6444.48,No
CUST1202,Male,53,60,Silver,98.13,DSL,Two year,Mailed check,Yes,No,No,Yes,No,Yes,6419.99,No
CUST1203,Male,62,50,Basic,71.96,None,Month-to-month,Mailed check,Yes,No,Yes,Yes,No,Yes,3311.94,No
CUST1204,Female,53,12,Gold,57.3,DSL,Month-to-month,Credit card,Yes,Yes,No,No,Yes,No,709.37,No
CUST1205,Male,39,47,Gold,104.37,DSL,Month-to-month,Electronic check,No,No,Yes,No,Yes,No,4527.59,No
CUST1206,Female,31,67,Basic,35.21,DSL,Month-to-month,Credit card,No,No,No,No,Yes,Yes,2214.77,No
CUST1207,Female,33,65,Silver,61.15,Fiber optic,One year,Mailed check,Yes,Yes,Yes,Yes,No,Yes,4113.11,No
CUST1208,Female,53,27,Premium,17.57,DSL,Two year,Electronic check,No,No,No,No,No,Yes,485.67,No
CUST1209,Male,42,48,Basic,32.22,Fiber optic,One year,Electronic check,Yes,No,No,Yes,Yes,Yes,1542.21,No
CUST1210,Male,49,62,Gold,113.79,Fiber optic,One year,Mailed check,No,No,No,No,Yes,Yes,7440.63,No
CUST1211,Male,50,44,Basic,75.7,Fiber optic,One year,Credit card,No,No,Yes,Yes,Yes,Yes,3458.92,No
CUST1212,Male,62,19,Silver,99.59,DSL,Month-to-month,Mailed check,No,No,Yes,Yes,Yes,Yes,1725.2,No
CUST1213,Male,53,59,Gold,66.08,DSL,Month-to-month,Electronic check,Yes,No,No,No,Yes,Yes,4019.15,No
CUST1214,Male,37,8,Silver,102.66,DSL,Month-to-month,Bank transfer,No,Yes,No,Yes,Yes,Yes,802.75,Yes
CUST1215,Male,35,55,Silver,71.59,Fiber optic,Month-to-month,Credit card,No,No,Yes,No,Yes,Yes,3914.79,No
CUST1216,Female,55,47,Premium,15.48,Fiber optic,One year,Mailed check,Yes,Yes,Yes,No,Yes,Yes,730.97,No
