CustomerID,BillingRegion,TotalSpent,LastPaymentDate
CUST1101,West,1777.17,2025-05-03
CUST1102,South,2425.36,2025-04-28
CUST1103,North,1121.24,2025-05-10
CUST1104,East,390.59,2025-06-06
CUST1105,North,2307.48,2025-02-17
CUST1106,North,2888.59,2025-09-28
CUST1107,West,2959.48,2025-10-10
CUST1108,South,1697.98,2025-10-21
CUST1109,East,442.79,2025-01-30
CUST1110,West,1629.69,2025-02-11
CUST1111,West,1452.06,2025-06-09
CUST1112,South,1534.3,2025-04-30
CUST1113,South,1874.08,2025-07-03
CUST1114,North,2780.18,2025-01-12
CUST1115,South,483.28,2025-06-06
CUST1116,South,2565.48,2025-08-04
CUST1117,West,310.83,2025-07-07
CUST1118,South,2220.72,2025-07-23
CUST1119,East,535.53,2025-07-06
CUST1120,East,1626.83,2025-04-24
CUST1121,North,840.13,2025-04-25
CUST1122,North,2468.28,2025-10-18
CUST1123,East,2270.48,2025-04-03
CUST1124,East,1143.37,2025-04-28
CUST1125,North,415.66,2025-01-19
CUST1126,North,597.31,2025-02-02
CUST1127,East,1923.4,2025-05-06
CUST1128,East,1875.16,2025-10-06
CUST1129,North,2594.9,2025-10-16
CUST1130,South,2261.99,2025-01-06
CUST1131,East,2128.99,2025-05-28
CUST1132,North,1231.58,2025-01-23
CUST1133,North,2445.31,2025-09-06
CUST1134,North,1885.01,2025-07-26
CUST1135,East,1912.97,2025-05-23
CUST1136,West,2440.58,2025-05-29
CUST1137,South,1304.01,2025-01-28
CUST1138,East,317.6,2025-08-16
CUST1139,North,1613.03,2025-05-21
CUST1140,East,715.36,2025-10-18
CUST1141,West,2506.11,2025-03-11
CUST1142,East,2736.37,2025-08-06
CUST1143,West,1462.47,2025-10-21
CUST1144,East,1057.77,2025-07-25
CUST1145,East,2951.2,2025-02-04
CUST1146,South,2356.11,2025-07-07
CUST1147,North,596.35,2025-08-10
CUST1148,South,2758.44,2025-08-02
CUST1149,East,544.3,2025-03-06
CUST1150,East,1234.54,2025-09-04
CUST1151,East,2002.23,2025-01-23
CUST1152,North,1362.16,2025-06-24
CUST1153,West,2088.5,2025-10-25
CUST1154,East,1899.89,2025-10-18
CUST1155,West,2611.3,2025-09-13
CUST1156,North,1479.24,2025-01-20
CUST1157,East,2207.45,2025-03-31
CUST1158,South,2460.22,2025-05-10
CUST1159,North,1753.95,2025-07-09
CUST1160,North,2990.42,2025-07-11
CUST1161,South,1684.26,2025-03-22
CUST1162,North,2187.4,2025-07-09
CUST1163,South,2132.03,2025-01-16
CUST1164,East,1051.64,2025-06-09
CUST1165,North,2043.53,2025-04-01
CUST1166,East,2565.93,2025-07-09
CUST1167,North,2244.25,2025-08-31
CUST1168,East,2400.75,2025-07-23
CUST1169,East,2469.0,2025-02-16
CUST1170,East,960.58,2025-07-08
CUST1171,South,991.32,2025-05-08
CUST1172,North,665.62,2025-10-14
CUST1173,South,697.57,2025-03-22
CUST1174,South,1118.67,2025-05-08
CUST1175,North,602.31,2025-07-27
CUST1176,South,1839.37,2025-07-06
CUST1177,East,2756.89,2025-06-08
CUST1178,North,2854.89,2025-08-22
CUST1179,East,2780.79,2025-08-08
CUST1180,North,1728.66,2025-01-28
CUST1181,North,362.04,2025-01-18
CUST1182,West,1814.76,2025-10-17
CUST1183,North,2399.52,2025-03-01
CUST1184,West,1856.66,2025-07-18
CUST1185,North,1980.34,2025-01-02
CUST1186,East,2532.81,2025-06-25
CUST1187,West,1753.94,2025-02-23
CUST1188,South,874.79,2025-10-23
CUST1189,North,800.16,2025-02-16
CUST1190,East,523.73,2025-02-10
CUST1191,West,492.34,2025-05-11
CUST1192,West,1615.3,2025-02-02
CUST1193,South,459.42,2025-08-20
CUST1194,South,587.37,2025-08-04
CUST1195,North,2079.94,2025-08-03
CUST1196,South,1306.23,2025-10-18
CUST1197,West,2608.45,2025-09-05
CUST1198,West,344.34,2025-02-28
CUST1199,North,651.18,2025-05-03
CUST1200,South,300.24,2025-10-01
CUST1201,East,2955.89,2025-07-30
CUST1202,East,468.94,2025-03-27
CUST1203,South,2400.41,2025-02-12
CUST1204,East,1320.14,2025-09-30
CUST1205,South,2698.36,2025-08-10
CUST1206,West,511.11,2025-06-10
CUST1207,East,969.64,2025-04-06
CUST1208,North,1253.34,2025-07-16
CUST1209,West,1413.04,2025-09-02
CUST1210,South,2876.89,2025-10-10
CUST1211,North,546.32,2025-05-17
CUST1212,East,1352.05,2025-04-18
CUST1213,South,1267.3,2025-01-06
CUST1214,North,1860.16,2025-06-06
CUST1215,West,2638.77,2025-07-03
CUST1216,East,2579.12,2025-07-19
CUST1217,North,322.43,2025-04-01
CUST1218,South,535.82,2025-10-15
CUST1219,West,2628.26,2025-08-17
CUST1220,West,1313.54,2025-02-11
CUST1221,West,2723.1,2025-01-13
CUST1222,East,2845.07,2025-10-25
CUST1223,West,1660.73,2025-09-17
CUST1224,East,1966.01,2025-07-24
CUST1225,South,1953.86,2025-03-21
CUST1226,South,1595.57,2025-01-04
CUST1227,North,1229.68,2025-03-15
CUST1228,West,2620.67,2025-06-27
CUST1229,West,2921.86,2025-10-15
CUST1230,West,2168.29,2025-02-16
CUST1231,East,860.69,2025-01-28
CUST1232,North,559.62,2025-07-25
CUST1233,South,1875.12,2025-07-12
CUST1234,North,423.07,2025-01-05
CUST1235,South,346.57,2025-04-02
CUST1236,East,2014.4,2025-05-02
CUST1237,South,1787.09,2025-01-20
CUST1238,South,1260.05,2025-05-01
CUST1239,North,622.66,2025-06-06
CUST1240,South,2692.92,2025-08-26
CUST1241,South,839.2,2025-03-17
CUST1242,West,2851.55,2025-07-11
CUST1243,South,1778.73,2025-05-15
CUST1244,South,1486.53,2025-07-01
CUST1245,West,1531.38,2025-04-21
CUST1246,West,2363.26,2025-06-01
CUST1247,West,1147.42,2025-01-02
CUST1248,North,1152.19,2025-06-06
CUST1249,North,1227.67,2025-04-08
CUST1250,West,1110.63,2025-05-31
CUST1251,East,712.1,2025-04-07
CUST1252,South,2479.48,2025-04-27
CUST1253,West,2193.64,2025-05-29
CUST1254,West,497.76,2025-07-02
CUST1255,North,1974.45,2025-04-15
CUST1256,West,767.78,2025-02-17
CUST1257,North,716.78,2025-01-21
CUST1258,East,2945.09,2025-09-08
CUST1259,West,1100.11,2025-08-30
CUST1260,West,2224.23,2025-08-04
CUST1261,South,697.29,2025-01-29
CUST1262,South,1224.25,2025-06-25
CUST1263,East,533.61,2025-07-29
CUST1264,South,1317.52,2025-09-16
CUST1265,North,2590.51,2025-07-04
CUST1266,East,1283.62,2025-01-16
CUST1267,East,1583.55,2025-09-25
CUST1268,South,2319.05,2025-02-05
CUST1269,East,2552.68,2025-06-04
CUST1270,South,1251.92,2025-02-26
CUST1271,West,2627.57,2025-06-14
CUST1272,North,2580.55,2025-08-31
CUST1273,West,1079.66,2025-03-22
CUST1274,East,958.86,2025-10-22
CUST1275,South,1208.92,2025-07-13
CUST1276,North,390.12,2025-01-25
CUST1277,East,2705.83,2025-02-10
CUST1278,North,984.86,2025-05-10
CUST1279,East,1017.25,2025-05-14
CUST1280,South,2036.82,2025-04-30
CUST1281,West,1368.4,2025-03-17
CUST1282,West,328.85,2025-10-23
CUST1283,East,465.95,2025-10-16
CUST1284,North,2823.42,2025-05-22
CUST1285,North,893.08,2025-09-15
CUST1286,East,2853.5,2025-07-15
CUST1287,East,1367.02,2025-01-22
CUST1288,South,1862.65,2025-05-23
CUST1289,West,2546.55,2025-03-04
CUST1290,West,1211.29,2025-05-23
CUST1291,South,1436.97,2025-10-06
CUST1292,North,2471.14,2025-06-03
CUST1293,South,2060.0,2025-05-04
CUST1294,West,2065.87,2025-09-02
CUST1295,South,1522.56,2025-01-25
CUST1296,South,1311.23,2025-05-28
CUST1297,South,2424.01,2025-02-05
CUST1298,East,1118.92,2025-05-06
CUST1299,East,2015.96,2025-06-07
CUST1300,South,2054.48,2025-04-18
CUST1301,East,1730.08,2025-02-18
CUST1302,North,1752.57,2025-09-26
CUST1303,East,1165.57,2025-06-04
CUST1304,East,874.49,2025-04-18
CUST1305,South,2750.13,2025-04-02
CUST1306,East,2360.99,2025-07-21
CUST1307,West,1168.22,2025-09-16
CUST1308,South,490.54,2025-08-31
CUST1309,West,1132.71,2025-06-20
CUST1310,South,2563.03,2025-07-21
CUST1311,East,839.15,2025-08-13
CUST1312,North,1275.87,2025-02-27
CUST1313,North,708.14,2025-01-02
CUST1314,South,636.41,2025-09-06
CUST1315,West,943.35,2025-08-08
CUST1316,West,420.3,2025-07-01
CUST1317,North,1381.88,2025-07-06
CUST1318,East,775.08,2025-08-12
CUST1319,East,1211.64,2025-02-20
CUST1320,East,2410.38,2025-09-30
CUST1321,South,2957.53,2025-09-27
CUST1322,West,792.89,2025-02-19
CUST1323,South,917.82,2025-09-15
CUST1324,North,1912.32,2025-01-30
CUST1325,West,2204.68,2025-06-02
CUST1326,South,1639.72,2025-02-15
CUST1327,North,591.26,2025-02-08
CUST1328,West,2125.81,2025-09-01
CUST1329,North,1191.85,2025-03-12
CUST1330,South,2767.69,2025-03-17
CUST1331,East,1155.83,2025-04-07
CUST1332,South,1780.55,2025-07-28
CUST1333,South,2123.77,2025-06-21
CUST1334,West,2612.58,2025-03-28
CUST1335,North,2774.42,2025-06-02
CUST1336,North,2370.8,2025-08-02
CUST1337,East,788.96,2025-03-09
CUST1338,West,1779.77,2025-09-24
CUST1339,South,2683.96,2025-05-25
CUST1340,North,2449.04,2025-10-05
CUST1341,East,2093.09,2025-08-10
CUST1342,West,1598.82,2025-04-13
CUST1343,South,2877.01,2025-04-13
CUST1344,North,1336.92,2025-10-18
CUST1345,North,1940.13,2025-02-12
CUST1346,South,1303.64,2025-09-30
CUST1347,South,2184.29,2025-06-07
CUST1348,South,1011.11,2025-08-09
CUST1349,West,623.99,2025-03-19
CUST1350,North,381.19,2025-10-27
CUST1351,East,2154.81,2025-08-18
CUST1352,North,2711.65,2025-02-25
CUST1353,South,1094.33,2025-08-03
CUST1354,South,1913.06,2025-09-02
CUST1355,North,704.01,2025-06-17
CUST1356,East,1626.54,2025-06-14
CUST1357,East,391.59,2025-07-26
CUST1358,South,867.92,2025-03-02
CUST1359,South,779.6,2025-09-26
CUST1360,North,368.71,2025-05-20
CUST1361,West,1740.65,2025-03-25
CUST1362,East,1400.63,2025-01-30
CUST1363,North,1370.35,2025-10-09
CUST1364,South,677.54,2025-06-26
CUST1365,East,1476.73,2025-04-10
CUST1366,East,2260.31,2025-05-28
CUST1367,South,2325.98,2025-07-13
CUST1368,West,1221.38,2025-09-20
CUST1369,East,596.86,2025-10-19
CUST1370,West,2019.63,2025-07-24
CUST1371,East,1377.66,2025-10-24
CUST1372,West,1604.41,2025-07-24
CUST1373,North,2161.71,2025-06-01
CUST1374,East,955.47,2025-06-03
CUST1375,West,2219.08,2025-09-13
CUST1376,East,2259.52,2025-05-24
CUST1377,East,2970.1,2025-03-13
CUST1378,North,1901.91,2025-05-12
CUST1379,West,2438.09,2025-05-04
CUST1380,East,2376.94,2025-03-31
CUST1381,West,2130.96,2025-03-14
CUST1382,East,1678.93,2025-06-01
CUST1383,West,1551.34,2025-01-23
CUST1384,West,1890.75,2025-01-04
CUST1385,East,1207.34,2025-02-23
CUST1386,North,1927.79,2025-08-14
CUST1387,West,1737.26,2025-01-24
CUST1388,West,1620.25,2025-08-28
CUST1389,South,596.44,2025-01-07
CUST1390,East,1969.61,2025-03-29
CUST1391,East,529.95,2025-03-27
CUST1392,East,1701.13,2025-03-05
CUST1393,West,1362.64,2025-04-18
CUST1394,North,2821.49,2025-04-17
CUST1395,East,1386.04,2025-01-22
CUST1396,East,1638.99,2025-07-22
CUST1397,South,1527.87,2025-09-05
CUST1398,North,2290.3,2025-08-09
CUST1399,South,1694.19,2025-07-12
CUST1400,South,704.6,2025-01-03
CUST1401,South,2412.5,2025-10-23
CUST1402,North,1797.54,2025-03-10
CUST1403,North,979.59,2025-04-13
CUST1404,West,1572.2,2025-10-10
CUST1405,North,2108.7,2025-02-13
CUST1406,East,404.21,2025-09-01
CUST1407,North,1267.26,2025-07-06
CUST1408,South,2123.92,2025-05-12
CUST1409,South,2450.48,2025-05-02
CUST1410,East,875.02,2025-02-14
CUST1411,West,616.62,2025-02-16
CUST1412,North,1383.59,2025-07-27
CUST1413,West,1909.13,2025-03-26
CUST1414,West,2250.65,2025-04-09
CUST1415,North,2667.16,2025-08-30
CUST1416,West,1641.82,2025-06-16
CUST1417,North,1237.45,2025-08-11
CUST1418,South,925.09,2025-04-26
CUST1419,South,2495.32,2025-07-26
CUST1420,North,2189.67,2025-01-19
CUST1421,East,543.26,2025-06-11
CUST1422,West,1766.87,2025-07-28
CUST1423,East,762.66,2025-04-08
CUST1424,North,648.78,2025-09-03
CUST1425,West,2712.35,2025-10-13
CUST1426,North,2478.6,2025-09-23
CUST1427,North,2930.84,2025-08-13
CUST1428,East,2679.29,2025-01-15
CUST1429,North,1898.97,2025-08-21
CUST1430,South,2818.53,2025-10-10
CUST1431,South,707.1,2025-05-28
CUST1432,East,1247.5,2025-01-11
CUST1433,West,487.33,2025-05-31
CUST1434,West,604.08,2025-09-12
CUST1435,South,1298.52,2025-01-30
CUST1436,North,1211.04,2025-03-24
CUST1437,South,739.97,2025-07-28
CUST1438,East,605.01,2025-04-25
CUST1439,West,2830.02,2025-05-31
CUST1440,East,1888.38,2025-05-11
CUST1441,North,1423.01,2025-02-23
CUST1442,West,617.92,2025-01-27
CUST1443,North,965.57,2025-01-25
CUST1444,North,2884.56,2025-05-11
CUST1445,West,1613.02,2025-02-22
CUST1446,North,1989.63,2025-05-10
CUST1447,West,1397.92,2025-09-30
CUST1448,West,1023.46,2025-09-11
CUST1449,West,2936.78,2025-03-22
CUST1450,North,1421.59,2025-09-23
CUST1451,North,1565.72,2025-07-13
CUST1452,North,1810.7,2025-07-19
CUST1453,East,1778.88,2025-07-14
CUST1454,North,2922.72,2025-10-09
CUST1455,South,1212.95,2025-03-06
CUST1456,North,338.09,2025-05-22
CUST1457,East,2271.88,2025-05-15
CUST1458,East,2695.88,2025-10-03
CUST1459,West,2759.62,2025-09-06
CUST1460,North,594.09,2025-07-07
CUST1461,West,2115.58,2025-09-28
CUST1462,West,1606.3,2025-04-19
CUST1463,West,2860.09,2025-05-10
CUST1464,South,1214.81,2025-01-31
CUST1465,West,676.61,2025-10-09
CUST1466,East,2365.47,2025-01-25
CUST1467,West,1868.11,2025-02-06
CUST1468,West,2024.98,2025-10-23
CUST1469,North,1854.03,2025-07-06
CUST1470,South,1901.1,2025-08-15
CUST1471,East,352.31,2025-10-13
CUST1472,West,2306.44,2025-09-09
CUST1473,South,2204.47,2025-05-12
CUST1474,North,2171.67,2025-04-06
CUST1475,West,854.07,2025-05-29
CUST1476,South,1589.85,2025-03-02
CUST1477,North,2322.44,2025-08-07
CUST1478,South,1524.74,2025-10-12
CUST1479,South,1929.24,2025-01-31
CUST1480,South,2966.22,2025-03-23
CUST1481,North,1683.91,2025-09-14
CUST1482,South,2003.44,2025-03-22
CUST1483,North,2840.56,2025-06-23
CUST1484,West,1164.55,2025-07-25
CUST1485,South,568.37,2025-01-31
CUST1486,South,2502.39,2025-08-31
CUST1487,East,2904.84,2025-02-08
CUST1488,East,1334.13,2025-08-05
CUST1489,West,2437.81,2025-02-11
CUST1490,West,521.33,2025-07-02
CUST1491,East,2895.92,2025-09-02
CUST1492,South,2945.46,2025-05-31
CUST1493,East,2092.61,2025-03-06
CUST1494,East,1670.02,2025-01-25
CUST1495,West,609.3,2025-04-24
CUST1496,East,1832.61,2025-08-23
CUST1497,East,1122.37,2025-07-31
CUST1498,East,493.01,2025-05-19
CUST1499,West,2628.49,2025-05-29
CUST1500,West,2777.11,2025-02-23
CUST1501,North,840.31,2025-01-23
CUST1502,North,1471.11,2025-07-28
CUST1503,East,1566.1,2025-09-19
CUST1504,North,1533.85,2025-05-31
CUST1505,East,1633.98,2025-08-14
CUST1506,East,2373.27,2025-06-21
CUST1507,South,1374.92,2025-01-07
CUST1508,West,1605.7,2025-01-20
CUST1509,North,1639.32,2025-05-29
CUST1510,North,1921.26,2025-06-03
CUST1511,East,535.93,2025-08-24
CUST1512,East,656.67,2025-07-30
CUST1513,North,529.47,2025-02-01
CUST1514,West,2509.99,2025-05-02
CUST1515,East,2757.04,2025-03-08
CUST1516,West,2590.33,2025-01-07
CUST1517,North,1723.81,2025-03-04
CUST1518,North,1780.18,2025-03-19
CUST1519,West,1422.52,2025-10-04
CUST1520,South,597.57,2025-10-16
CUST1521,West,1577.14,2025-05-22
CUST1522,North,2189.66,2025-01-15
CUST1523,North,1806.16,2025-06-03
CUST1524,West,768.37,2025-06-27
CUST1525,North,1374.36,2025-08-13
CUST1526,East,2025.3,2025-09-19
CUST1527,East,2995.97,2025-10-07
CUST1528,West,1705.31,2025-05-22
CUST1529,West,1348.62,2025-06-19
CUST1530,North,2056.02,2025-06-04
CUST1531,North,2929.36,2025-03-03
CUST1532,North,2455.23,2025-07-03
CUST1533,South,1110.85,2025-01-11
CUST1534,North,2597.78,2025-07-16
CUST1535,South,627.36,2025-06-12
CUST1536,West,1274.16,2025-06-18
CUST1537,South,2039.68,2025-03-17
CUST1538,South,643.78,2025-03-26
CUST1539,North,2184.08,2025-01-16
CUST1540,North,1546.68,2025-08-17
CUST1541,East,566.88,2025-09-27
CUST1542,East,1939.52,2025-04-02
CUST1543,North,1451.41,2025-08-05
CUST1544,South,1737.02,2025-08-21
CUST1545,South,1776.87,2025-05-01
CUST1546,West,1176.6,2025-06-15
CUST1547,South,2258.65,2025-08-20
CUST1548,East,1321.59,2025-10-16
CUST1549,West,762.94,2025-01-27
CUST1550,West,415.22,2025-08-10
CUST1551,West,1170.52,2025-01-24
CUST1552,West,1612.23,2025-01-06
CUST1553,North,2858.17,2025-02-23
CUST1554,East,2741.02,2025-07-27
CUST1555,West,2303.13,2025-04-15
CUST1556,North,478.25,2025-08-22
CUST1557,East,985.71,2025-02-17
CUST1558,West,716.13,2025-10-03
CUST1559,South,2211.79,2025-08-29
CUST1560,West,758.01,2025-08-13
CUST1561,East,1886.28,2025-02-09
CUST1562,South,1795.83,2025-04-30
CUST1563,North,1946.69,2025-08-01
CUST1564,South,2551.03,2025-05-27
CUST1565,East,2833.09,2025-03-07
CUST1566,South,332.32,2025-05-08
CUST1567,South,585.67,2025-02-27
CUST1568,East,2465.41,2025-03-03
CUST1569,North,305.62,2025-04-17
CUST1570,East,1303.43,2025-09-27
CUST1571,South,2492.66,2025-07-25
CUST1572,East,2809.31,2025-08-04
CUST1573,South,2146.16,2025-01-17
CUST1574,West,1479.19,2025-08-15
CUST1575,West,988.3,2025-05-29
CUST1576,South,378.4,2025-02-28
CUST1577,West,1801.97,2025-06-25
CUST1578,East,1101.39,2025-06-05
CUST1579,West,2290.72,2025-04-21
CUST1580,East,1501.55,2025-01-28
CUST1581,East,444.68,2025-06-09
CUST1582,South,2996.59,2025-07-17
CUST1583,North,837.95,2025-07-23
CUST1584,West,1688.08,2025-05-06
CUST1585,East,831.21,2025-08-18
CUST1586,West,2571.73,2025-02-01
CUST1587,West,1829.18,2025-09-02
CUST1588,East,1212.89,2025-05-29
CUST1589,North,1948.45,2025-09-27
CUST1590,South,1502.94,2025-06-18
CUST1591,West,645.26,2025-08-19
CUST1592,South,2741.15,2025-01-17
CUST1593,East,389.67,2025-09-10
CUST1594,South,1936.16,2025-10-22
CUST1595,North,1987.52,2025-07-08
CUST1596,North,2776.86,2025-06-23
CUST1597,West,781.53,2025-04-25
CUST1598,South,2710.04,2025-06-15
CUST1599,West,2869.67,2025-08-18
CUST1600,South,1679.91,2025-05-18
CUST1601,East,2743.78,2025-04-10
CUST1602,West,2349.86,2025-10-18
CUST1603,South,2482.6,2025-09-04
CUST1604,East,2610.79,2025-09-03
CUST1605,South,1042.51,2025-01-03
CUST1606,South,788.99,2025-02-01
CUST1607,West,2723.17,2025-01-26
CUST1608,East,1647.37,2025-03-20
CUST1609,East,414.33,2025-01-20
CUST1610,West,1506.37,2025-06-04
CUST1611,North,2565.56,2025-10-07
CUST1612,East,2012.74,2025-06-13
CUST1613,East,2291.73,2025-03-03
CUST1614,North,1757.34,2025-09-29
CUST1615,West,1054.6,2025-06-29
CUST1616,West,2577.4,2025-01-15
CUST1617,North,1896.81,2025-05-17
CUST1618,West,1889.08,2025-05-11
CUST1619,East,1991.4,2025-02-05
CUST1620,South,505.07,2025-07-08
CUST1621,South,672.89,2025-07-18
CUST1622,East,1000.21,2025-03-07
CUST1623,South,1788.12,2025-08-11
CUST1624,South,2394.06,2025-04-11
CUST1625,North,1789.53,2025-10-12
CUST1626,East,1018.86,2025-07-17
CUST1627,West,1030.97,2025-07-15
CUST1628,West,391.15,2025-01-29
CUST1629,West,597.42,2025-10-25
CUST1630,East,489.93,2025-02-17
CUST1631,South,1991.99,2025-06-26
CUST1632,North,1959.24,2025-05-09
CUST1633,North,2789.93,2025-07-07
CUST1634,South,986.85,2025-06-19
CUST1635,South,885.75,2025-06-08
CUST1636,East,1214.4,2025-07-19
CUST1637,East,930.22,2025-10-19
CUST1638,South,1035.82,2025-06-03
CUST1639,South,1676.57,2025-01-04
CUST1640,South,2224.32,2025-09-20
CUST1641,West,2882.11,2025-02-21
CUST1642,East,305.43,2025-07-31
CUST1643,South,1648.15,2025-02-09
CUST1644,North,2265.36,2025-07-15
CUST1645,South,382.86,2025-08-15
CUST1646,East,1600.13,2025-06-11
CUST1647,South,2734.69,2025-02-17
CUST1648,North,2979.6,2025-07-01
CUST1649,East,1704.83,2025-03-18
CUST1650,South,1224.22,2025-10-14
CUST1651,East,1145.39,2025-05-12
CUST1652,West,804.83,2025-10-07
CUST1653,North,874.84,2025-01-29
CUST1654,North,1903.42,2025-06-19
CUST1655,South,1505.57,2025-10-08
CUST1656,East,2990.78,2025-09-13
CUST1657,North,1979.78,2025-02-08
CUST1658,South,2460.28,2025-09-29
CUST1659,South,1747.09,2025-01-06
CUST1660,South,1096.66,2025-01-17
CUST1661,West,2722.48,2025-05-04
CUST1662,East,1416.81,2025-07-10
CUST1663,East,2367.03,2025-05-13
CUST1664,South,1777.95,2025-01-28
CUST1665,North,1159.92,2025-08-17
CUST1666,North,2641.26,2025-09-27
CUST1667,East,2557.09,2025-09-07
CUST1668,West,2234.1,2025-08-23
CUST1669,South,624.57,2025-01-30
CUST1670,South,1155.72,2025-09-14
CUST1671,North,2960.9,2025-03-06
CUST1672,West,2509.41,2025-06-22
CUST1673,West,372.16,2025-05-19
CUST1674,South,1406.49,2025-01-13
CUST1675,West,961.97,2025-02-26
CUST1676,South,2424.91,2025-10-21
CUST1677,West,1453.32,2025-07-04
CUST1678,East,2022.15,2025-03-24
CUST1679,West,862.6,2025-06-18
CUST1680,South,970.36,2025-07-31
CUST1681,South,1978.39,2025-04-23
CUST1682,West,2394.18,2025-05-24
CUST1683,South,1178.94,2025-04-05
CUST1684,West,1998.73,2025-03-01
CUST1685,South,2036.64,2025-05-02
CUST1686,North,2322.6,2025-10-20
CUST1687,South,2192.37,2025-04-03
CUST1688,East,1477.63,2025-02-24
CUST1689,South,1308.63,2025-10-01
CUST1690,North,1247.81,2025-07-15
CUST1691,East,941.44,2025-07-31
CUST1692,East,813.11,2025-05-27
CUST1693,West,2409.46,2025-07-04
CUST1694,West,1550.13,2025-10-15
CUST1695,East,1478.25,2025-03-28
CUST1696,East,2916.76,2025-07-04
CUST1697,East,1836.81,2025-03-26
CUST1698,North,1791.84,2025-08-02
CUST1699,North,825.83,2025-02-25
CUST1700,East,1906.95,2025-10-08
CUST1701,North,2092.62,2025-01-18
CUST1702,North,2675.56,2025-08-03
CUST1703,West,2501.81,2025-06-07
CUST1704,South,2616.18,2025-09-01
